Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2014-11-24,207.169998,207.389999,206.910004,207.259995,176.107056,65880800.0,Monday,11/24/14
2014-11-26,207.289993,207.759995,207.029999,207.639999,176.429916,62167800.0,Wednesday,11/24/14
2014-11-28,207.490005,207.869995,206.910004,207.199997,176.056091,57890100.0,Friday,11/24/14
2014-12-01,206.399994,206.539993,205.380005,205.759995,174.832489,103968400.0,Monday,12/1/14
2014-12-04,207.539993,208.270004,206.699997,207.660004,176.446945,91316600.0,Thursday,12/1/14
2014-12-05,207.869995,208.470001,207.550003,208.0,176.735886,91025500.0,Friday,12/1/14
2014-12-08,207.520004,208.119995,205.929993,206.610001,175.554749,108588200.0,Monday,12/8/14
2014-12-11,203.880005,206.190002,203.710007,204.190002,173.49855,159012800.0,Thursday,12/8/14
2014-12-12,202.639999,203.820007,200.850006,200.889999,170.694458,202330200.0,Friday,12/8/14
2014-12-15,201.979996,202.529999,198.779999,199.509995,169.521927,189965800.0,Monday,12/15/14
2014-12-18,204.740005,212.970001,203.919998,206.779999,175.69928,257633900.0,Thursday,12/15/14
2014-12-19,206.429993,207.330002,205.610001,206.520004,176.446793,245084600.0,Friday,12/15/14
2014-12-22,206.75,207.470001,206.460007,207.470001,177.258499,148318900.0,Monday,12/22/14
2014-12-24,208.020004,208.339996,207.720001,207.770004,177.51474,42963400.0,Wednesday,12/22/14
2014-12-26,208.309998,208.850006,208.25,208.440002,178.087173,57326700.0,Friday,12/22/14
2014-12-29,208.220001,208.970001,208.139999,208.720001,178.326431,79643900.0,Monday,12/29/14
2014-12-31,207.990005,208.190002,205.389999,205.539993,175.609528,130333800.0,Wednesday,12/29/14
2015-01-02,206.380005,206.880005,204.179993,205.429993,175.515549,121465900.0,Friday,12/29/14
2015-01-05,204.169998,204.369995,201.350006,201.720001,172.345795,169632600.0,Monday,1/5/15
2015-01-08,204.009995,206.160004,203.990005,205.899994,175.917068,147217800.0,Thursday,1/5/15
2015-01-09,206.399994,206.419998,203.509995,204.25,174.507401,158567300.0,Friday,1/5/15
2015-01-12,204.410004,204.600006,201.919998,202.649994,173.140335,144396100.0,Monday,1/12/15
2015-01-15,201.630005,202.009995,198.880005,199.020004,170.038895,176613900.0,Thursday,1/12/15
2015-01-16,198.770004,201.820007,198.550003,201.630005,172.268921,211879600.0,Friday,1/12/15
2015-01-20,202.399994,202.720001,200.169998,202.059998,172.63623,130991100.0,Tuesday,1/19/15
2015-01-22,203.990005,206.259995,202.330002,206.100006,176.087952,174356000.0,Thursday,1/19/15
2015-01-23,205.789993,206.100006,204.809998,204.970001,175.122498,117516800.0,Friday,1/19/15
2015-01-26,204.710007,205.559998,203.850006,205.449997,175.532623,92009700.0,Monday,1/26/15
2015-01-29,200.380005,202.300003,198.679993,201.990005,172.576447,173585400.0,Thursday,1/26/15
2015-01-30,200.570007,202.169998,199.130005,199.449997,170.406342,197729700.0,Friday,1/26/15
2015-02-02,200.050003,202.029999,197.860001,201.919998,172.516617,163107000.0,Monday,2/2/15
2015-02-05,204.860001,206.300003,204.770004,206.119995,176.105042,97953200.0,Thursday,2/2/15
2015-02-06,206.559998,207.240005,204.919998,205.550003,175.618042,125672000.0,Friday,2/2/15
2015-02-09,204.770004,205.639999,204.139999,204.630005,174.832047,87219000.0,Monday,2/9/15
2015-02-12,207.889999,208.990005,206.970001,208.919998,178.497299,97545900.0,Thursday,2/9/15
2015-02-13,209.070007,209.839996,208.759995,209.779999,179.232056,93670400.0,Friday,2/9/15
2015-02-17,209.399994,210.320007,209.100006,210.110001,179.514023,76968200.0,Tuesday,2/16/15
2015-02-19,209.410004,210.419998,209.240005,209.979996,179.402924,91462500.0,Thursday,2/16/15
2015-02-20,209.479996,211.330002,208.729996,211.240005,180.479462,140896400.0,Friday,2/16/15
2015-02-23,210.940002,211.210007,210.479996,211.210007,180.453857,74411100.0,Monday,2/23/15
2015-02-26,211.520004,211.710007,210.649994,211.380005,180.599106,72697900.0,Thursday,2/23/15
2015-02-27,211.259995,211.580002,210.600006,210.660004,179.983932,108076000.0,Friday,2/23/15
2015-03-02,210.779999,212.059998,210.720001,211.990005,181.120285,87491400.0,Monday,3/2/15
2015-03-05,210.619995,210.800003,209.850006,210.460007,179.813065,76873000.0,Thursday,3/2/15
2015-03-06,209.419998,209.940002,207.100006,207.5,177.284058,188128000.0,Friday,3/2/15
2015-03-09,207.740005,208.789993,207.550003,208.360001,178.018845,89818900.0,Monday,3/9/15
2015-03-12,205.259995,207.179993,205.199997,207.100006,176.942398,93993500.0,Thursday,3/9/15
2015-03-13,206.770004,207.929993,204.580002,205.830002,175.857254,162410900.0,Friday,3/9/15
2015-03-16,206.710007,208.690002,205.860001,208.580002,178.206772,136099200.0,Monday,3/16/15
