Date,Open,High,Low,Close,Adj Close,Volume
7/19/22,386.079987,392.869995,385.390015,392.269989,384.610565,78506000
7/20/22,392.470001,396.26001,391.029999,394.769989,387.061737,71843800
7/21/22,394.160004,398.839996,391.630005,398.790009,391.003296,64903900
7/22/22,398.920013,400.179993,392.75,395.089996,387.375519,72197300
7/25/22,395.75,396.470001,393.209991,395.570007,387.84613,53631500
7/26/22,393.839996,394.059998,389.950012,390.890015,383.257568,52946400
7/27/22,394.359985,402.880005,394.049988,401.040009,393.209351,82342100
7/28/22,401.890015,406.799988,398.149994,406.070007,398.141113,73966600
7/29/22,407.579987,413.029999,406.769989,411.98999,403.945526,87003700
8/1/22,409.149994,413.410004,408.399994,410.769989,402.749359,69997500
8/2/22,409.119995,413,406.820007,408.059998,400.092255,63435400
8/3/22,410.299988,415.679993,410,414.450012,406.357513,67820600
8/4/22,414.369995,415.089996,412.440002,414.170013,406.082977,45656600
8/5/22,409.660004,414.149994,409.600006,413.470001,405.396637,56814900
8/8/22,415.25,417.619995,411.829987,412.98999,404.925964,53886100
8/9/22,412.220001,412.75,410.220001,411.350006,403.318054,44931800
8/10/22,418.779999,420.140015,416.720001,419.98999,411.789337,68665700
8/11/22,422.98999,424.950012,419.209991,419.98999,411.789337,59489700
8/12/22,422.029999,427.209991,421.029999,427.100006,418.760529,61694500
8/15/22,424.769989,429.410004,424.709991,428.859985,420.486115,54048300
8/16/22,427.730011,431.730011,426.880005,429.700012,421.309723,59289000
8/17/22,425.910004,429.5,424.540009,426.649994,418.319275,63563400
8/18/22,426.859985,428.609985,425.5,427.890015,419.535095,49023200
8/19/22,424.980011,425.26001,421.220001,422.140015,413.897339,68016900
